Cliente;Plato;Importe;Fecha
1;empanada JyQ;1400;21/12/2050
1;ensalada de atun;2300;21/12/2050
1;Empanada JyQ;2600;21/12/2025
1;Empanada JyQ;2600;21/12/2025
1;Empanada JyQ;2600;21/12/2025
1;Empanada JyQ;2600;21/12/2025
4;ensalada de atun;3400;21/12/2025
4;pollo sin harina;3400;22/12/2025
4;pollo sin harina;3400;22/12/2025
4;milanga;2300;22/12/2025
1;Pollo al horno;6000;22/12/2025
1;Pollo al horno;6000;22/12/2025
2;¥oquis con salsa;5000;22/12/2025
4;milanga;2300;22/12/2025
3;Fideos con salsa de hongos;30000;23/12/2025
