ID;Nombre;Tipo;DesTipo;Precio;Fecha;ID_Establecimiento
1;Empanada JyQ;1;Almuerzo est ndar;2600;21/12/2025;1
2;ensalada de atun;2;Opci¢n vegetariana;3400;21/12/2025;2
3;milanesa con papas;1;Almuerzo est ndar;12300;21/12/2025;2
4;ensalada;2;Opci¢n vegetariana;23000;21/12/2025;2
5;pollo sin harina;3;Apto cel¡aco;3400;22/12/2025;2
6;milanesa sin fritas;1;Almuerzo est ndar;3400;24/12/2025;2
7;pollo con zanahoria;2;Opci¢n vegetariana;23477;24/12/2025;2
8;zanahoria fea;2;Opci¢n vegetariana;12000;21/12/2025;1
9;empanada;2;Opci¢n vegetariana;2400;21/12/2025;2
11;Pollo al horno;1;Almuerzo est ndar;6000;22/12/2025;1
12;¥oquis con salsa;2;Opci¢n vegetariana;5000;22/12/2025;5
14;Sushi;1;Almuerzo est ndar;58000;23/12/2025;3
15;Fideos con salsa de hongos;1;Almuerzo est ndar;30000;23/12/2025;3
16;Salmon con pure;1;Almuerzo est ndar;60000;24/12/2025;3
17;Zapallito relleno;2;Opci¢n vegetariana;14000;24/12/2025;3
18;Ensalada caesar;3;Apto cel¡aco;7000;25/12/2025;3
19;Sorrentinos con crema;1;Almuerzo est ndar;9000;25/12/2025;3
20;asado con papas fritas;1;Almuerzo est ndar;35000;27/12/2025;3
21;Milanesa con ensalda;1;Almuerzo est ndar;15000;28/12/2025;3
22;Milanesa de berenjena;2;Opci¢n vegetariana;6000;28/12/2025;3
